Start training Best Model
Epoch 55 train loss: 1.9116
Epoch 55 val loss: 1.6672
Epoch 56 train loss: 1.9210
Epoch 56 val loss: 1.6672
Epoch 57 train loss: 1.9065
Epoch 57 val loss: 1.6673
Epoch 58 train loss: 1.9108
Epoch 58 val loss: 1.6672
Epoch 59 train loss: 1.9094
Epoch 59 val loss: 1.6673
Epoch 60 train loss: 1.9057
Epoch 60 val loss: 1.6673
Epoch 61 train loss: 1.9050
Epoch 61 val loss: 1.6673
Epoch 62 train loss: 1.9060
Epoch 62 val loss: 1.6672
Epoch 63 train loss: 1.9188
Epoch 63 val loss: 1.6673
Epoch 64 train loss: 1.9060
Epoch 64 val loss: 1.6673
Epoch 65 train loss: 1.9098
Epoch 65 val loss: 1.6674
Epoch 66 train loss: 1.9066
Epoch 66 val loss: 1.6674
Epoch 67 train loss: 1.9069
Epoch 67 val loss: 1.6672
Epoch 68 train loss: 1.9063
Epoch 68 val loss: 1.6672
Epoch 69 train loss: 1.9123
Epoch 69 val loss: 1.6672
Epoch 70 train loss: 1.9055
Epoch 70 val loss: 1.6672
Epoch 71 train loss: 1.9040
Epoch 71 val loss: 1.6672
Epoch 72 train loss: 1.9049
Epoch 72 val loss: 1.6672
Epoch 73 train loss: 1.9061
Epoch 73 val loss: 1.6673
Epoch 74 train loss: 1.9054
Epoch 74 val loss: 1.6673
Epoch 75 train loss: 1.9046
Epoch 75 val loss: 1.6672
Epoch 76 train loss: 1.9063
Epoch 76 val loss: 1.6673
Epoch 77 train loss: 1.9084
Epoch 77 val loss: 1.6673
Epoch 78 train loss: 1.9045
Epoch 78 val loss: 1.6672
Epoch 79 train loss: 1.9061
Epoch 79 val loss: 1.6673
Epoch 80 train loss: 1.9047
Epoch 80 val loss: 1.6672
Epoch 81 train loss: 1.9102
Epoch 81 val loss: 1.6671
Epoch 82 train loss: 1.9183
Epoch 82 val loss: 1.6672
Epoch 83 train loss: 1.9096
Epoch 83 val loss: 1.6672
Epoch 84 train loss: 1.9045
Epoch 84 val loss: 1.6672
Epoch 85 train loss: 1.9113
Epoch 85 val loss: 1.6672
Epoch 86 train loss: 1.9096
Epoch 86 val loss: 1.6671
Epoch 87 train loss: 1.9137
Epoch 87 val loss: 1.6672
Epoch 88 train loss: 1.9068
Epoch 88 val loss: 1.6671
Epoch 89 train loss: 1.9092
Epoch 89 val loss: 1.6672
Epoch 90 train loss: 1.9080
Epoch 90 val loss: 1.6672
Epoch 91 train loss: 1.9115
Epoch 91 val loss: 1.6674
Epoch 92 train loss: 1.9071
Epoch 92 val loss: 1.6673
Epoch 93 train loss: 1.9069
Epoch 93 val loss: 1.6672
Epoch 94 train loss: 1.9103
Epoch 94 val loss: 1.6673
Epoch 95 train loss: 1.9088
Epoch 95 val loss: 1.6673
Epoch 96 train loss: 1.9105
Epoch 96 val loss: 1.6672
Epoch 97 train loss: 1.9103
Epoch 97 val loss: 1.6674
Epoch 98 train loss: 1.9121
Epoch 98 val loss: 1.6673
Epoch 99 train loss: 1.9087
Epoch 99 val loss: 1.6672
Epoch 100 train loss: 1.9052
Epoch 100 val loss: 1.6673
